Method,Input_Size,Time_Taken,Run
Linear Search,100,4.375004209578037e-06,1
Binary Search,100,1.7500133253633976e-06,1
Linear Search,100,2.541986759752035e-06,2
Binary Search,100,8.329807315021753e-07,2
Linear Search,100,6.332993507385254e-06,3
Binary Search,100,8.750066626816988e-07,3
Linear Search,100,7.920025382190943e-07,4
Binary Search,100,8.33999365568161e-07,4
Linear Search,100,6.375019438564777e-06,5
Binary Search,100,1.0420044418424368e-06,5
Linear Search,500,1.4999997802078724e-05,1
Binary Search,500,1.8339778762310743e-06,1
Linear Search,500,2.4416978703811765e-05,2
Binary Search,500,1.5829864423722029e-06,2
Linear Search,500,1.0457995813339949e-05,3
Binary Search,500,2.1249870769679546e-06,3
Linear Search,500,2.054200740531087e-05,4
Binary Search,500,1.541979145258665e-06,4
Linear Search,500,2.620898885652423e-05,5
Binary Search,500,1.5420082490891218e-06,5
Linear Search,1000,3.6249984987080097e-06,1
Binary Search,1000,2.042012056335807e-06,1
Linear Search,1000,1.0166986612603068e-05,2
Binary Search,1000,1.333013642579317e-06,2
Linear Search,1000,4.583009285852313e-06,3
Binary Search,1000,1.00000761449337e-06,3
Linear Search,1000,7.916998583823442e-06,4
Binary Search,1000,1.0830117389559746e-06,4
Linear Search,1000,7.124996045604348e-06,5
Binary Search,1000,1.0830117389559746e-06,5
